Id,name,relicTime,type,metiral,author,descriptoin,imageUrl,moreUrl,museum,location,simpleTime
29,"  wedding dress  I.W. Caley, Manufacturer       Not Currently on View   Image Licensing   ", 1875 ,wedding," silk satin, orange blossoms, silk netting with cotton petticoat ",  I.W. Caley  ,"       Gallery Label   Provenance      Ellen Seppings wore this dress when she married Josiah Pratt Clowes in England.In the 1870s, the style of skirts changed from a full-bell shape to the half-bell shape, creating a flatter, smoother effect in the front and moving fullness towards the back, using the bustle.The tradition of using orange blossoms came to the West from China through the ancient Silk Road. During the Crusades, the custom was brought from the East to Spain and then to the rest of Europe.The orange blossom is a symbol of fertility because it is one of the few trees that blooms and bears fruit at the same time.   The dress belonged to Ellen Sepping (1839-1914) who married Josiah Pratt Clowes in 1875. These are the parents of George Henry Alexander Clowes who married Edith Hinkel and who was the father of Allen Whitehill Clowes.      ",http://collection.imamuseum.org/artwork/31562/0_preview.jpg,http://collection.imamuseum.org/artwork/31562/,imamuseum,United States
30,  komainu  Muromachi       Currently on View in K302   Image Licensing   , Muromachi ,komainu," cyrpress wood, gold lacquer (Urushi), and crystal ", Japanese ,"       Gallery Label      ??Komainu are lion-like guardian dogs usually placed at the entrances to temples and shrines. Koma is the Japanese name for Koguryo, an ancient Korean kingdom, and inu means dog. This indicates that the motif may have come to Japan from China via Korea. Technically, only an animal with the horned head and closed mouth is called komainu. This distinction was lost over time.      ",http://collection.imamuseum.org/artwork/75694/0_preview.jpg,http://collection.imamuseum.org/artwork/75694/,imamuseum,United States
31,  komainu  Muromachi       Currently on View   Image Licensing   , Muromachi ,komainu," cyrpress wood, gold lacquer (Urushi), and crystal ", Japanese ,"       Gallery Label      狛犬 Komainu are lion-like guardian dogs usually placed at the entrances to temples and shrines. Koma is the Japanese name for Koguryo, an ancient Korean kingdom, and inu means dog. This indicates that the motif may have come to Japan from China via Korea. Technically, only an animal with the horned head and closed mouth is called komainu; the animal with the open mouth is a lion (shishi). This distinction was lost over time.      ",http://collection.imamuseum.org/artwork/75611/0_preview.jpg,http://collection.imamuseum.org/artwork/75611/,imamuseum,United States
32,  komainu  Muromachi       Currently on View in K302   Image Licensing   , Muromachi ,komainu," cyrpress wood, gold lacquer (Urushi), and crystal ", Japanese ,"       Gallery Label      狛犬 Komainu are lion-like guardian dogs usually placed at the entrances to temples and shrines. Koma is the Japanese name for Koguryo, an ancient Korean kingdom, and inu means dog. This indicates that the motif may have come to Japan from China via Korea. Technically, only an animal with the horned head and closed mouth is called komainu; the animal with the open mouth is a lion (shishi). This distinction was lost over time.      ",http://collection.imamuseum.org/artwork/75603/0_preview.jpg,http://collection.imamuseum.org/artwork/75603/,imamuseum,United States
33,"  calligraphy in cursive script  Lin Shu, Calligrapher (Chinese, 1852-1924)       Not Currently on View   Image Licensing   ", Modern {Chinese period} ,calligraphy, ink on paper ,"  Lin Shu (Chinese, 1852-1924)  ","       Provenance      Irving Lo [1922-2005], Saint Peter, Minnesota, family collection that he brought with him when he left Fujian via Shanghai to the United States in 1947; given to the Indianapolis Museum of Art in 2007.      ",http://collection.imamuseum.org/artwork/75604/0_preview.jpg,http://collection.imamuseum.org/artwork/75604/,imamuseum,United States
34,"  Blossoms  Chen Banding (Chinese, 1877-1970)       Not Currently on View   Image Licensing   ", Modern {Chinese period} ,Blossoms, ink and color on paper ,"  Chen Banding (Chinese, 1877-1970)  ","       Provenance      Mr. and Mrs. Irving Lo, Saint Peter, Minnesota in 1947, when left China; given to the Indianapolis Museum of Art in 2007.      ",http://collection.imamuseum.org/artwork/71654/0_preview.jpg,http://collection.imamuseum.org/artwork/71654/,imamuseum,United States
35,"  Autumn Orchids  Zhou Chengde (Chinese, 1877-1933)       Not Currently on View   Image Licensing   ", Modern {Chinese period} ,Autumn, ink on paper ,"  Zhou Chengde (Chinese, 1877-1933)  ","       Gallery Label   Provenance      秋蘭 秋士愁落葉﹐秋蘭耐早霜﹔且傾三斗墨﹐洒筆作瀟湘｡ 庚午夏軼生｡  Scholars in autumn mourn the fallen leaves; Orchids in autumn endure early frost; Then why not empty three pecks of ink, And wet my brush to paint my Idyll?"" Summer of 1930 by Yisheng[tr. Irving Lo]  For many centuries, the orchid had been associated with the character and qualities embodied by Qu Yuan 屈原, the ultimate loyal minister and a great poet who lived around 300 bce, because he tended nine fields of orchids. As a teenager Zhou studied in Japan, and after returning to China in 1900, he settled in Hangzhou, Zhejiang, near where he was born. He was noted in calligraphy for several styles of script and in painting for orchids and bamboo. A prominent critic called him the foremost artist in Zhejiang. He was also one of the founders of the Xi-ling seal society 西泠印社.   Mr. and Mrs. Irving Lo, Saint Peter, Minnesota, in 1947 when left China; given to the Indianapolis Museum of Art in 2007.      ",http://collection.imamuseum.org/artwork/36970/0_preview.jpg,http://collection.imamuseum.org/artwork/36970/,imamuseum,United States
36,"  Paired Peaks Bristle Against the Clouds (""Twin Peaks Piercing the Clouds"")  Kang Youwei, Calligrapher (Chinese, 1858-1927)       Not Currently on View   Image Licensing   ", Qing dynasty ,Paired, ink on paper ,"  Kang Youwei (Chinese, 1858-1927)  ","       Provenance      Mr. and Mrs. Irving Lo, Saint Peter, Minnesota, in 1947 when left China; given to the Indianapolis Museum of Art in 2007.      ",http://collection.imamuseum.org/artwork/31992/0_preview.jpg,http://collection.imamuseum.org/artwork/31992/,imamuseum,United States
37,  One-hundred Donkeys Transporting Grain  Yin Ye (Chinese)       Not Currently on View   Image Licensing   , Qing dynasty ,One-hundred," ink on paper, handscroll ",  Yin Ye (Chinese)  ,"       Provenance      Shanghai collection(1). [China Guardian, Spring auction Zhongguo Jiade Guoji...2006-06-03, lot 0522. Paul Chao (Wan Hon Lau Mounting Studio, Hong Kong)(2); [Kaikodo]; IMA. (1) pencil marks on outside title strip indicative of items once seized and returned to owners. (2) 5/29/08 email from Kaikodo.      ",http://collection.imamuseum.org/artwork/82571/0_preview.jpg,http://collection.imamuseum.org/artwork/82571/,imamuseum,United States
38,"  Distance Through Rivers and Mountains  Pu Ru (Chinese, 1896-1963)       Not Currently on View   Image Licensing   ", Modern {Chinese period} ,Distance, ink and color on paper ,"  Pu Ru (Chinese, 1896-1963)  ","       Gallery Label   Provenance      江山平遠  Distance through rivers and mountains enters early autumn. This is a phrase by the Qing dynasty poet Wáng Shìzhìn. Using the brushwork of Sōng Láihuì [I] sketched the sunken rocks to expand the idea, and describing it in this region is suitable.—Xīnyú [Pŭ Rú] 江山平遠入新秋。此王漁洋句也。以清遠之筆，寫之隱石，張展其意，書扵其境地，有合也。心畬  Pŭ Rú was a cousin to the last emperor of China, Pŭ Yí. The colophon on the left was written in 1943, six years before Pŭ Rú moved to Taiwan.   Irving Lo, Saint Peter, Minnesota, prior to 1947; given to the Indianapolis Museum of Art in 2008.      ",http://collection.imamuseum.org/artwork/31993/0_preview.jpg,http://collection.imamuseum.org/artwork/31993/,imamuseum,United States
39,  charger         Not Currently on View   Image Licensing   , about 1770 ,charger, porcelain , Chinese ,"       Provenance      Mr. and Mrs. William Wick, Indianapolis, Indiana; IMA.      ",http://collection.imamuseum.org/artwork/70214/0_preview.jpg,http://collection.imamuseum.org/artwork/70214/,imamuseum,United States
40,"  MUSEUM dinnerware  Eva Zeisel, Designer (American, born Hungary, 1906-2011) Castleton China Co., Manufacturer (American)       Not Currently on View   Image Licensing   ", 1942-1943 ,MUSEUM, porcelain ,"  Eva Zeisel (American, born Hungary, 1906-2011)  ","       Provenance      Dr. Steve Conant, Indianapolis, IN;donated to the Indianapolis Museum of Art in 2009      ",http://collection.imamuseum.org/artwork/70627/0_preview.jpg,http://collection.imamuseum.org/artwork/70627/,imamuseum,United States
41,"  Tomorrow's Classic coffee pot, gravy boat and cup and saucer  Eva Zeisel, Designer (American, born Hungarian, 1906-2011) Hall China Company, manufacturer (American)       Not Currently on View   Image Licensing   ", 1953-1962 ,Tomorrow's, ceramic ,"  Eva Zeisel (American, born Hungarian, 1906-2011)  ",null,http://collection.imamuseum.org/artwork/70628/0_preview.jpg,http://collection.imamuseum.org/artwork/70628/,imamuseum,United States
42,"  Tomorrow's Classic gravy boat  Eva Zeisel, Designer (American, born Hungary, 1906-2011) Hall China Company, manufacturer (American)       Not Currently on View   Image Licensing   ", 1953-1962 ,Tomorrow's, ceramic ,"  Eva Zeisel (American, born Hungary, 1906-2011)  ",null,http://collection.imamuseum.org/artwork/71056/0_preview.jpg,http://collection.imamuseum.org/artwork/71056/,imamuseum,United States
43,  pair of sleeve facings  Qing dynasty       Not Currently on View   Image Licensing   , Qing dynasty ,pair, silk , Chinese ,null,http://collection.imamuseum.org/artwork/50255/0_preview.jpg,http://collection.imamuseum.org/artwork/50255/,imamuseum,United States
44,  altar frontal         Not Currently on View   Image Licensing   , 1850-1899 ,altar," silk, metallic threads ", Japanese ,"       Gallery Label   Provenance      This richly brocaded gold cloth was used to decorate an alter table in a Buddhist temple. The costly fabric was donated to the temple in exchange for prayers. Its elaborate pattern of lotus flowers among leaves and scrolling vines is based on floral motifs that originated in Central Asia, India, Persia, and Egypt. Introduced to Japan through China, this popular design can also been seen on ceramics and metalwork, as well as sculptural and architectural detailing. The lotus is the sacred flower of Buddha. Its four virtues are fragrance, cleanliness, flexibility and loveliness. It is a motif often used as decoration on objects related to Buddhism.   Eliza M. Niblack and Sarah L. Niblack; given to the Indianapolis Museum of Art (1933).      ",http://collection.imamuseum.org/artwork/70896/0_preview.jpg,http://collection.imamuseum.org/artwork/70896/,imamuseum,United States
45,  Coverlet shaped like a kimono (yogi)  Middle Edo       Not Currently on View   Image Licensing   , Middle Edo ,Coverlet," silk, resist-dyed, embroidered with silk and metallic threads ", Japanese ,"       Gallery Label      Elaborately designed kimono-shaped comforters were often part of the bride's trousseau and were included with a number of kimonos given to her by her family. A large phoenix, an auspicious bird associated with the empress in both China and Japan, is depicted here, along with a blossoming Paulownia tree. The phoenix is also an emblem for the bride because of its beauty and virtues of sincerity, prosperity, and truthfulness-all qualities hoped for in marriage.      ",http://collection.imamuseum.org/artwork/46050/0_preview.jpg,http://collection.imamuseum.org/artwork/46050/,imamuseum,United States
46,"  Snow on the Sumida River  Katsushika Hokusai 葛飾北斎 (Japanese, 1760-1849)       Not Currently on View   Image Licensing   ", about 1790-1845 ,Snow, color woodblock print ,"  Katsushika Hokusai 葛飾北斎 (Japanese, 1760-1849)  ",null,http://collection.imamuseum.org/artwork/41841/0_preview.jpg,http://collection.imamuseum.org/artwork/41841/,imamuseum,United States
47,"  Still Life with a Chinese Porcelain Jar  Willem Kalf (Dutch, 1619-1693)       Not Currently on View   Image Licensing   ", 1669 ,Still, oil on canvas ,"  Willem Kalf (Dutch, 1619-1693)  ","       Gallery Label   Related Text   Provenance      The objects in this dynamic composition reference foreign and domestic commodities circulating in the great trading center of Amsterdam, where Kalf executed this painting. Imported luxury goods—the Qing Dynasty porcelain jar from China, the lemon with spiraling peel, and the delicate Venetian glass—anchor the arrangement. The ornamented silver tray and the wine glass, seated on a gilded mount adorned with a putto clutching a cornucopia, epitomize exquisite Dutch local craft. These precious items subtly reflect the light, which transforms them into sparkling gems that rival the prized articles themselves.   Indianapolis Museum of Art: Highlights of the Collection (2005) When Willem Kalf painted this luxurious still life, his home city of Amsterdam was the trading center of Europe. Persian textiles, tropical fruits, and Asian porcelains were just a few of the exotic commodities brought by intrepid Dutch seafarers to the bustling markets of the capital.The precious objects assembled here are carefully arranged to celebrate both the painter's skill and the enterprising spirit of Holland's golden age. On a marble tabletop, polished Dutch silver reflects the sparkle of delicate Venetian glass, while a curling lemon peel teases the senses of smell and taste. Reflections animate the glossy surface of a Chinese export porcelain jar from the 1640s. The centerpiece of the composition is a Dutch roemer, or wine glass, with an elaborate gilded mount. At its base, a cherub clutches a cornucopia, symbolizing peace and plenty, but the rumpled carpet seems to offer only a precarious support. At left, a ticking watch signals the passage of time. While enjoying their worldly success, Dutch Calvinist burghers valued such reminders that their earthly prosperity was no substitute for eternal salvation.If I could choose the golden vessels or the picture, there is no question, I would choose the picture.-Poet and playwright J.W. von Goethe, 1749-1832, on a painting by Kalf   Dr. Munniks (Munnicks?) van Cleef, Utrecht, The Netherlands, until 1864. {1} Possibly (Julius Böhler, Munich) by 1934. {2} (Dr. Burg, Haarlem) by 1936. {3} Mr. and Mrs. Reifenberg (Reiffenberg?), Cologne and Rye, New York. {4} (M. Knoedler & Co., New York) by 1945; {5} Mrs. James W. Fesler, Indianapolis, in 1945; Given to the John Herron Art Institute, now the Indianapolis Museum of Art at Newfields, in 1945 (45.9). -------{1} Sold as lot no, 50 at Hôtel Drouot, Paris, Tableaux Anciens, April 4-5, 1864 to an unknown buyer. The consignor was ""Docteur van Cleef.""{2} This information is from Lucius Grisebach's catalogue raisonné, Willem Kalf, 1619-1693, Berlin 1974, catalgoue no. 135 (illustrated) but is not corroborated by materials found in IMA archives, historical files or by information on the verso of the painting, stretcher or frame. {3} The art dealer Dr. H. Burg is given as the owner in the exhibition catalogue for Tentoonstelling van oude kunst uit het bezit van den internationalen Handel, Rijksmuseum Amsterdam 1936, catalogue no. 85. A label from this exhibition appears on the stretcher, with the name ""Dr. E. Burg, Haarlem."" {4} The Reif(f)enberg provenance is given in Grisebach, and is confirmed in an undated letter from the dealer Paul Drey, New York, to museum director Wilbur Peat: ""The Reifenbergs were not really collectors but owned a few objects and paintings, all of quality and fine taste. They acquired the Kalf from the German art trade;"" see IMA Historical File (45.9).{5} Copy of bill of sale to Mrs. James W. Fesler, Indianapolis, on M. Knoedler & Co, New York letterhead, dated 15 February 1945, see IMA Historical File (45.9).      ",http://collection.imamuseum.org/artwork/45586/0_preview.jpg,http://collection.imamuseum.org/artwork/45586/,imamuseum,United States
48,"  Shi Shin, nicknamed ""Nine Tattooed Dragons"" and Chin Tatsu, nicknamed ""Stream Leaping Tiger""  Katsushika Hokusai 葛飾北斎 (Japanese, 1760-1849)       Not Currently on View   Image Licensing   ", Edo ,Shi, woodblock printed book illustration ,"  Katsushika Hokusai 葛飾北斎 (Japanese, 1760-1849)  ","       Gallery Label   Provenance      Chin Tatsu (Chén Dá; tied up) is described as being strong and impetuous with a loud, booming voice. Shi Shin (Shǐ Jìn) had been fascinated with martial arts since he was a child. His body is covered with flowery tattoos, and on his upper torso he sports nine dragon tattoos. When Chin Tatsu led his band to pillage the countryside near Shi Shin’s hometown, he was captured by the latter. But impressed by the loyalty and brotherhood of the outlaws and then falsely accused of colluding with them by a government informer, Shi Shin ended up having to flee, and he joined the bandits. After receiving amnesty from the emperor, both men died fighting the Liao army, which invaded northern China.   George C. Calvert; given to the John Herron Art Institute, Indianapolis, Indiana, now the Indianapolis Museum of Art at Newfields, in 1947.      ",http://collection.imamuseum.org/artwork/45675/0_preview.jpg,http://collection.imamuseum.org/artwork/45675/,imamuseum,United States
49,  vase with carved peony scrolls  Northern Song dynasty       Currently on View in K308.c7   Image Licensing   , Northern Song dynasty ,vase," stoneware with slip and clear glaze, Cizhou-type ware ", Chinese ,"       Related Text   Provenance      Indianapolis Museum of Art: Highlights of the Collection (2005) With its saucer-shaped mouth, slender neck, and elegant body, this vase is beautiful in both proportion and design. The deeply carved, stylized design of peony flowers and leaves boldly fills its central section. Taut curves evoke a sense of energy contained, like a spring ready to be released. The peony was a popular motif because of its colorful, lush blossoms, and because the flower's name sounds the same as the words for wealth and honor, adding an air of auspiciousness to whatever it adorns. Called the “king of flowers,” the peony owes its popularity to the only woman to rule China as emperor—Wu Zetian, who reigned from 690 to 705. Her passion for the flower inspired its appreciation by the many officials who hoped to advance their careers under her reign.Cizhou-type ware is made of a coarse stoneware covered with a white slip, a diluted clay coating, which is then scratched or carved, exposing the darker, buff-colored body beneath. Named for the northern kiln site Cizhou, present-day Cixian, located in Hebei province, this popular, sturdy pottery was created for daily utilitarian use. Produced continuously from the 10th century to the present day, it has one of the longest histories of all the major ceramic traditions.Cizhou-type ware has been called “the people's ware” because it was made for everyday use.   Mr. and Mrs. Eli Lilly; given to the Indianapolis Museum of Art in 1947.      ",http://collection.imamuseum.org/artwork/13827/0_preview.jpg,http://collection.imamuseum.org/artwork/13827/,imamuseum,United States
50,  Peacocks  Lu Zhaoyang (Chinese)       Not Currently on View   Image Licensing   , Ming dynasty ,Peacocks, ink and color on silk ,  Lu Zhaoyang (Chinese)  ,"       Gallery Label   Provenance      Little is know about the biography of this artist from the southern province of Fujian. Local history records him with other artists who ""were all good at subjects of feathers and fur."" Their skill was praised in some areas as surpassing the best of the artists employed by the Ming court. In China flower and bird painting, figure painting and landscape painting were the three most popular subjects of painting. Thanks to history, literature and tradition over thousands of years, most flowers and birds have acquired rich layers of associations and symbolism. The symbolism presented in this painting is suitable for prominent display; culture (peacock), long life (long tailed bird) together with wealth and honor (peony).   [Jan W. A. Kleijkamp and Ellis Monroe]. Eli Lilly (list of January 1948 purchases for $1,200.      ",http://collection.imamuseum.org/artwork/54653/0_preview.jpg,http://collection.imamuseum.org/artwork/54653/,imamuseum,United States
51,"  Yokkaichi  Utagawa Hiroshige 歌川広重 (Japanese, 1797-1858)       Not Currently on View   Image Licensing   ", about 1841-1842 ,Yokkaichi," ink on paper, color woodblock print ","  Utagawa Hiroshige 歌川広重 (Japanese, 1797-1858)  ",null,http://collection.imamuseum.org/artwork/82249/0_preview.jpg,http://collection.imamuseum.org/artwork/82249/,imamuseum,United States
52,  plate with dragon and pheonix design  Wanli       Currently on View in K308.c3   Image Licensing   , Ming dynasty ,plate, stoneware with underglaze blue , Chinese ,"       Provenance      Purchased by the John Herron Art Institute, Indianapolis, Indiana, now the Indianapolis Museum of Art at Newfields, in 1950.      ",http://collection.imamuseum.org/artwork/5724/0_preview.jpg,http://collection.imamuseum.org/artwork/5724/,imamuseum,United States
53,  bowl with Kufic inscription  Nishapur       Not Currently on View   Image Licensing   , Nishapur ,bowl, earthenware with underglaze paint , Persian ,"       Gallery Label   Provenance      In Islamic culture, writing is often an important component of design. Words, being more potent than images, can be found most everywhere from architecture to coins, as symbols of power. On this bowl, the angular Arabic writing (Kufic script) conveys wishes of good blessings. At the beginning of the 9th century, ceramic production greatly increased, and the objects themselves began to be regarded as fine art. Whether inspired by imports from China or by Mediterranean traditions, Persian craftsmen made many great achievements in ceramics.   Purchased by the John Herron Art Institute, Indianapolis, Indiana, now the Indianapolis Museum of Art at Newfields, in 1952.      ",http://collection.imamuseum.org/artwork/57562/0_preview.jpg,http://collection.imamuseum.org/artwork/57562/,imamuseum,United States
54,"  Two Herons in the Snow  Kiyohara Yukinobu (Japanese, 1643-1682)       Not Currently on View   Image Licensing   ", Edo ,Two, ink and light color on silk ,"  Kiyohara Yukinobu (Japanese, 1643-1682)  ","       Gallery Label   Provenance      In China, images of herons became auspicious symbols since the word for heron is pronounced the same as the word for good fortune, lù. Although herons can be seen throughout Japan, they became a popular subject for Japanese ink paintings beginning in the Muromachi period (1392–1568) because of the influence of imported Chinese works. The characters for heron and fortune do not share the same pronunciation in Japanese, so the auspicious connotation of the birds was not emphasized in Japan. Yukinobu is known for her delicate and charming paintings, and she is one of the most important female artists of the Edo period (1600–1868).   Mr. and Mrs. James W. Alsdorf, Chicago, Illinois; given to the John Herron Art Institute, Indianapolis, Indiana, now the Indianapolis Museum of Art at Newfields, in 1956.      ",http://collection.imamuseum.org/artwork/33934/0_preview.jpg,http://collection.imamuseum.org/artwork/33934/,imamuseum,United States
55,"  two horses on hillside  Xu Beihong (Chinese, 1895-1953)       Not Currently on View   Image Licensing   ", Modern {Chinese period} ,two, ink and color on paper ,"  Xu Beihong (Chinese, 1895-1953)  ","       Gallery Label   Provenance      山坡雙馬 Xu is primarily known for his ink paintings of horses and birds even though he also painted monumental oil paintings. In 1919 he left China to study for eight years in Paris at the École Nationale Supérieure des Beaux-Arts and in Germany. Xu was one of the first Chinese artists to articulate the need for artistic expression that reflects a new modern China.   Mr. and Mrs. James W. Alsdorf, Chicago, Illinois; given to the John Herron Art Institute, Indianapolis, Indiana, now the Indianapolis Museum of Art at Newfields, in 1956.      ",http://collection.imamuseum.org/artwork/31845/0_preview.jpg,http://collection.imamuseum.org/artwork/31845/,imamuseum,United States
56,"  Wada  Utagawa Hiroshige 歌川広重 (Japanese, 1797-1858)       Not Currently on View   Image Licensing   ", 19th century ,Wada," ink on paper, color woodblock print ","  Utagawa Hiroshige 歌川広重 (Japanese, 1797-1858)  ",null,http://collection.imamuseum.org/artwork/75626/0_preview.jpg,http://collection.imamuseum.org/artwork/75626/,imamuseum,United States
57,  plate         Not Currently on View   Image Licensing   , 1501-1600 ,plate, tin-glazed earthenware , Italian ,"       Gallery Label      During the Renaissance, the town of Urbino was a major source for the Italian tin-glazed earthenware known as maiolica. Classical mythology frequently provided the inspiration for the Urbino ware's highly pictorial decoration, executed in brilliant colors. Despite their similar appearance, these plates are from different sets. The words Quando forapito Ganimed (""When Ganymede was captured"") are inscribed on the back of the plate on the left. It depicts the mortal Ganymede, being borne aloft by the eagle of Zeus to become the god's cupbearer. The unmarked plate on the right may depict a scene from the story of Apollo and his son Aesculapius. These plates were probably intended mainly for display This stand, like much Siena ware, is decorated with cornucopias, winged putti (or cherub) heads and arabesques on the front. A ewer originally accompanied this stand and was secured by the boss that protrudes from the center of the piece. The scented water that filled the ewer was used for hand washing between courses.      ",http://collection.imamuseum.org/artwork/9138/0_preview.jpg,http://collection.imamuseum.org/artwork/9138/,imamuseum,United States
58,  jar with playing boys design  Jiajing       Currently on View in K308.p2   Image Licensing   , Ming dynasty ,jar, porcelain with underglaze blue , Chinese ,"       Provenance      [C. T. Loo]. Eli Lilly, Indianapolis, Indiana (25 January 1952 invoice); given to the John Herron Art Institute, now the Indianapolis Museum of Art at Newfields, in 1960.      ",http://collection.imamuseum.org/artwork/33501/0_preview.jpg,http://collection.imamuseum.org/artwork/33501/,imamuseum,United States
59,  bowl with stylized lotus and floral designs  Yongle       Currently on View in K308.c1   Image Licensing   , Ming dynasty ,bowl, porcelain with underglaze blue , Chinese ,"       Provenance      60.101 & .102 [C. T. Loo]. Eli Lilly, Indianapolis, Indiana (25 January 1952 invoice for $1,800); given to the John Herron Art Institute, now the Indianapolis Museum of Art at Newfields, in 1960.      ",http://collection.imamuseum.org/artwork/38468/0_preview.jpg,http://collection.imamuseum.org/artwork/38468/,imamuseum,United States
60,  vase with nine peach design  Qianlong       Currently on View in K308   Image Licensing   , Qing dynasty ,vase, porcelain with overglaze enamels , Chinese ,"       Gallery Label   Related Text   Provenance      This decoration appears realistic, but in nature, buds, blossoms, leaves and fruit never appear together. Peaches are symbols of immortality, and ""nine"" has the same sound as the word for ""a long time."" Many decorations in Chinese art are actually rebuses, or image puzzles; the images, when pronounced, had the same sound as other auspicious words or ideas.   Indianapolis Museum of Art: Highlights of the Collection (2005) This lyrical image of a peach branch is portrayed very naturalistically, even though it shows an impossible state of affairs: peach buds, blossoms, leaves, and fruit could never appear on one branch at the same time. A magical, timeless quality arising from this simultaneity reinforces the immortality or longevity symbolized by the peach motif. One of the more popular legends concerning the peach is that of Xiwangmu, mythological Queen Mother of the West, who is said to have a peach tree that bears fruit every three thousand years. When the fruit ripens, Xiwangmu invites immortals to partake of the miraculous peach of eternal life.This large porcelain vase was made under imperial patronage, as the six-character reign mark on the bottom signifies. The design is particularly successful because the painter was sensitive to the vase's complex shape—notice how the placement on the shoulder makes the peaches more prominent. Such vases are among the most admired type of porcelain objects from this period. The quality, size, and choice of subject made this vase suitable for display in any room of the emperor's palace.Qing-dynasty artists attained an unprecedented technical skill in their handling of ceramics and glazes. In the early 1700s, they discovered that by adding a white pigment to translucent, tinted enamels they could obtain opaque colors. This allowed enamelers to work with a palette of colors similar to that used in oil painting, a medium introduced to China through contact with European missionaries and traders.   S. Davis of St. Louis, Missouri, C. T. Loo / Frank Caro (invoice 06 March 1953 $2,800) Mr. & Mrs. Eli Lilly, Indianapolis, Indiana; given to the John Herron Art Institute, now the Indianapolis Museum of Art at Newfields, in 1960.      ",http://collection.imamuseum.org/artwork/71613/0_preview.jpg,http://collection.imamuseum.org/artwork/71613/,imamuseum,United States
61,  vase with plum design  Kangxi       Not Currently on View   Image Licensing   , Qing dynasty ,vase, porcelain with underglaze blue (Jingezhen ware) , Chinese ,"       Provenance      60.122 & .123 - J. T. Tai & Co. ($2,800); Eli Lilly, Indianapolis, Indiana; given to the John Herron Art Institute, now the Indianapolis Museum of Art at Newfields, in 1960.      ",http://collection.imamuseum.org/artwork/75656/0_preview.jpg,http://collection.imamuseum.org/artwork/75656/,imamuseum,United States
62,  bowl for the Zhonghe Hall  Kangxi       Not Currently on View   Image Licensing   , Qing dynasty ,bowl, porcelain with underglaze blue and red decoration , Chinese ,"       Provenance      Mathias Komor ($600); Eli Lilly, Indianapolis, Indiana; given to the John Herron Art Institute, now the Indianapolis Museum of Art at Newfields, in 1960.      ",http://collection.imamuseum.org/artwork/6446/0_preview.jpg,http://collection.imamuseum.org/artwork/6446/,imamuseum,United States
63,  bowl with roundels of floral design  Daoguang       Not Currently on View   Image Licensing   , Qing dynasty ,bowl, Enamels Overglaze , Chinese ,       Provenance      Ralph Chait ($400.)      ,http://collection.imamuseum.org/artwork/79500/0_preview.jpg,http://collection.imamuseum.org/artwork/79500/,imamuseum,United States
64,  canteen with peaches and bats design  Qianlong       Not Currently on View   Image Licensing   , Qing dynasty ,canteen," porcelain, underglaze blue ", Chinese ,       Provenance      ($348.) no source listed in 1953 list      ,http://collection.imamuseum.org/artwork/27248/0_preview.jpg,http://collection.imamuseum.org/artwork/27248/,imamuseum,United States
65,"  pair of musicians  Bow China Works, Manufacturer (English)       Not Currently on View   Image Licensing   ", 1765-1775 ,pair," soft paste porcelain, polychrome enamels, gilding ",  Bow China Works (English)  ,null,http://collection.imamuseum.org/artwork/33463/0_preview.jpg,http://collection.imamuseum.org/artwork/33463/,imamuseum,United States
